------->U2000Name, NeName, CellId<------
WAW,14_WAR1506A_1_PRZASNYSKA_6A,100
WAW,14_WAR1506A_1_PRZASNYSKA_6A,70
WAW,14_WAR8113A_1_METRO_CENTRUM,58
WAW,14_WAR1092C_1_KRUCZA_51,39
WAW,14_WAR1092C_1_KRUCZA_51,66
WAW,14_WAR1092C_1_KRUCZA_51,36
WAW,14_WAR1092C_1_KRUCZA_51,38
WAW,14_WAR1506A_1_PRZASNYSKA_6A,110
WAW,14_WAR1506A_1_PRZASNYSKA_6A,120
WAW,14_WAR1506A_1_PRZASNYSKA_6A,80
WAW,14_WAR1506A_1_PRZASNYSKA_6A,90
WAW,14_WAR8019A_1_DW_POWISLE,34
WAW,14_WAR8214A_1_METRO_STADION,20
WAW,14_WAR1035A_1_PANSKA_73,61
WAW,14_WAR1035A_1_PANSKA_73,88
WAW,14_WAR1035A_1_PANSKA_73,58
WAW,14_WAR1035A_1_PANSKA_73,60
WAW,14_WAR1035A_1_PANSKA_73,71
WAW,14_WAR1035A_1_PANSKA_73,98
WAW,14_WAR1035A_1_PANSKA_73,68
WAW,14_WAR1035A_1_PANSKA_73,70
WAW,14_WAR1035A_1_PANSKA_73,81
WAW,14_WAR1035A_1_PANSKA_73,108
WAW,14_WAR1035A_1_PANSKA_73,78
WAW,14_WAR1035A_1_PANSKA_73,80
WAW,14_WAR8015A_1_DW_CENTRALNY,100
WAW,14_WAR1045D_1_NOWY_SWIAT_6_12,124
WAW,14_WAR1045D_1_NOWY_SWIAT_6_12,144
WAW,14_WAR1045D_1_NOWY_SWIAT_6_12,94
WAW,14_WAR1045D_1_NOWY_SWIAT_6_12,114
WAW,14_WAR2128A_1_PKP_STADION,84
WAW,14_WAR2128A_1_PKP_STADION,64
WAW,14_WAR2128A_1_PKP_STADION,74
WAW,14_WAR2128A_1_PKP_STADION,54
WAW,14_WAR8015A_1_DW_CENTRALNY,150
WAW,14_WAR8015A_1_DW_CENTRALNY,90
WAW,14_WAR1072B_1_WILENSKA_69,112
WAW,14_WAR1072B_1_WILENSKA_69,82
WAW,14_WAR8015A_1_DW_CENTRALNY,70
WAW,14_WAR1045D_1_NOWY_SWIAT_6_12,134
WAW,14_WAR1045D_1_NOWY_SWIAT_6_12,104
WAW,14_WAR8119A_1_METRO_MARYMONT,78
WAW,14_WAR1034D_1_GRZYBOW_77,52
WAW,14_WAR1072B_1_WILENSKA_69,92
WAW,14_WAR1072B_1_WILENSKA_69,102
WAW,14_WAR1072B_1_WILENSKA_69,62
WAW,14_WAR1072B_1_WILENSKA_69,72
WAW,14_WAR1034D_1_GRZYBOW_77,62
WAW,14_WAR1034D_1_GRZYBOW_77,72
WAW,14_WAR1034D_1_GRZYBOW_77,32
WAW,14_WAR1034D_1_GRZYBOW_77,42
WAW,14_WAR1044E_1_3MAJA_7,97
WAW,14_WAR1044E_1_3MAJA_7,124
WAW,14_WAR1044E_1_3MAJA_7,94
WAW,14_WAR1044E_1_3MAJA_7,96
WAW,14_WAR1044E_1_3MAJA_7,117
WAW,14_WAR1044E_1_3MAJA_7,144
WAW,14_WAR1044E_1_3MAJA_7,114
WAW,14_WAR1044E_1_3MAJA_7,116
WAW,14_WAR1044E_1_3MAJA_7,134
WAW,14_WAR1044E_1_3MAJA_7,104
WAW,14_WAR1044E_1_3MAJA_7,106
WAW,14_WAR8015A_1_DW_CENTRALNY,80
WAW,14_WAR3079B_1_POPIELUSZKI_21,96
WAW,14_WAR3079B_1_POPIELUSZKI_21,106
WAW,14_WAR3079B_1_POPIELUSZKI_21,66
WAW,14_WAR3079B_1_POPIELUSZKI_21,76
WAW,14_WAR1509A_1_POTOCKA_33,64
WAW,14_WAR1509A_1_POTOCKA_33,74
WAW,14_WAR1509A_1_POTOCKA_33,34
WAW,14_WAR1509A_1_POTOCKA_33,44
WAW,14_WAR1047F_1_EMILI_PLATER_28,80
WAW,14_WAR1047F_1_EMILI_PLATER_28,50
WAW,14_WAR3079B_1_POPIELUSZKI_21,116
WAW,14_WAR3079B_1_POPIELUSZKI_21,86
WAW,14_WAR1509A_1_POTOCKA_33,84
WAW,14_WAR1509A_1_POTOCKA_33,54
WAW,14_WAR1047F_1_EMILI_PLATER_28,60
WAW,14_WAR1047F_1_EMILI_PLATER_28,70
WAW,14_WAR1047F_1_EMILI_PLATER_28,30
WAW,14_WAR1047F_1_EMILI_PLATER_28,40
WAW,14_WAR1068B_1_LESZNO_38,114
WAW,14_WAR1068B_1_LESZNO_38,124
WAW,14_WAR1068B_1_LESZNO_38,84
WAW,14_WAR1068B_1_LESZNO_38,94
WAW,14_WAR1068B_1_LESZNO_38,104
WAW,14_WAR1068B_1_LESZNO_38,74
WAW,14_WAR1106A_1_BRONIEWSKIEGO_2,89
WAW,14_WAR1106A_1_BRONIEWSKIEGO_2,87
WAW,14_WAR1106A_1_BRONIEWSKIEGO_2,86
WAW,14_WAR1106A_1_BRONIEWSKIEGO_2,88
WAW,14_WAR1106A_1_BRONIEWSKIEGO_2,99
WAW,14_WAR1106A_1_BRONIEWSKIEGO_2,109
WAW,14_WAR1106A_1_BRONIEWSKIEGO_2,97
WAW,14_WAR1106A_1_BRONIEWSKIEGO_2,107
WAW,14_WAR1106A_1_BRONIEWSKIEGO_2,96
WAW,14_WAR1106A_1_BRONIEWSKIEGO_2,106
WAW,14_WAR1106A_1_BRONIEWSKIEGO_2,98
WAW,14_WAR1106A_1_BRONIEWSKIEGO_2,108
WAW,14_WAR1106A_1_BRONIEWSKIEGO_2,119
WAW,14_WAR1106A_1_BRONIEWSKIEGO_2,117
WAW,14_WAR1106A_1_BRONIEWSKIEGO_2,116
